"Référence";"ContexteGauche";"Pivot";"ContexteDroit"
"txm-AB, AB17930713";"das Gesetz auf den Thron erhoben, und";"wahre Freiheit";"zur Grundlage des Staatsgebäudes gemacht worden, so wollte ich auf ewig"
"txm-AB, AB17930713";"in seine heiligen Menschenrechte einzusetzen, und eine";"politische Freiheit";"zu erringen, hat bloß das Unvermögen und die Unwürdigkeit desselben an"
"txm-AB, AB17930713";"und daß derjenige noch nicht reif ist zur";"bürgerlichen Freiheit";", dem noch so vieles zur menschlichen fehlt. [17]"
"txm-AB, AB17930713";"ein sittliches Wesen zu handeln, giebt dem";"Menschen Anspruch auf Freiheit";"; ein Gemüth aber, das nur sinnlicher Bestimmungen fähig ist,"
"txm-AB, AB17930713";"Freiheit ; ein Gemüth aber, das nur";"sinnlicher Bestimmungen fähig ist, ist der Freiheit";"so wenig werth, als empfänglich. Alle Reform, die Bestand"
"txm-AB, AB17930713";"erhält den Staat, und macht politische und";"bürgerliche Freiheit";"möglich. Denn wenn die Weisheit selbst in Person vom Olymp herabstiege"
"txm-AB, AB17930713";"Nichts weniger, Gnädigster Prinz. Politische und";"bürgerliche Freiheit";"bleibt immer und ewig das heiligste aller Güter, das würdigste Ziel"
"txm-AB, AB17930713";"und dem göttlichen Theil seines Wesens, seiner";"Vernunft und seiner Freiheit";", ein Antheil daran verschafft wird. [28] Wenn Sinnes"
"txm-AB, AB17930713";"rettet ihn ? Die Künste, die an";"goldnen Ringen Ihn aufwärts zu der Freiheit";"ziehn, Und durch den Reiz veredelter Gestalten Ihn zwischen Erd und"
"txm-AB, AB17930713";"seyn, als die Wirkungen des Genies unter";"Principien zu bringen und die Freiheit";"mit Nothwendigkeit zu vereinigen. [31] Werde ich mir nun"
"txm-AB, AB17930713";"diesen ersten Brief zurückhalten. Jetzt bin ich";"vollkommen frey";", und werde mich in vollem Maße der gnädigen Erlaubniß bedienen,"
"txm-AB, AB17931111";"ziehen den Dämmerschein dunkler Begriffe, wobey man";"lebhaft empfindet, und die freiere";"Phantasie sich nach eigenem Belieben bequeme Gestalten bildet, dem Tageslicht deutlicher"
"txm-AB, AB17931111";", wo ästhetische Kultur mit bürgerlicher Tugend und";"politischer Freiheit";"Hand in Hand gegangen wäre. So lange Griechenland seine Unabhängigkeit behauptete"
"txm-AB, AB17931111";"der Künste erschien, war es vorbey mit";"Griechenlands Tugend und Freiheit";". Die Römer, wissen wir, mußten sich erst unter das"
"txm-AB, AB17931111";"zugleich den Wiederhersteller des Geschmacks verehrt und den";"fruchtbarsten Unterdrücker seiner Freiheit";"verabscheut. Wo wir nur hinsehen in der Geschichte finden wir,"
"txm-AB, AB17931111";"hinsehen in der Geschichte finden wir, daß";"Geschmack und Freiheit";"einander fliehen, und die Kunst nur auf dem Grabe des Heroismus"
"txm-AB, AB17931111";", die ohne Aufhören geschäftig sind, seine";"rationale Freiheit";"zu unterdrücken, d. i. ihn des Vermögens zu berauben, sich"
"txm-AB, AB17931111";", sondern die Selbstthätigkeit des Geistes muß ihre";"Quelle seyn, und die Freiheit";"der Vernunft muß der Macht der Naturtriebe Grenzen setzen. Diese Schmelzung"
"txm-AB, AB17931111";", so vergeben Sie es für diesmal dem";"Innhalt, der nicht wohl eine freyere";"Behandlung zuläßt, ohne an Bündigkeit, worauf es hier vorzüglich ankommt"
"txm-AB, AB17931111";"wo die Naturnothwendigkeit waltet, nicht in unserm";"innern Selbst, wo die Freiheit";"regiert. Ich kann nicht umhin, den Menschen, der sie"
"txm-AB, AB17931111";"Kraft zu beweisen, deren Wirkung auf kein";"Leiden gegründet, sondern durchaus frey";"aus ihr selbst hervorgegangen und reine Selbstbestimmung ist. [24]"
"txm-AB, AB17931111";"mehr durch Empfindungen vorschreiben, sondern diese muß";"unabhängig und frey";"aus reinen Erkenntnissen fließen. [26] Nur wo ich aus"
"txm-AB, AB17931111";"aus reiner Erkenntniß handle, beweise ich eine";"absolut freye";"Thätigkeit. Um empfinden zu können, muß ich etwas außer mir"
"txm-AB, AB17931111";"Zustand der Abhängigkeit, die Rationalität ist ein";"Zustand der Freyheit";". [27] Und von dieser Dienstbarkeit der Natur soll ich"
"txm-AB, AB17931111";"ich nun von dieser sinnlichen Abhängigkeit zu der";"moralischen Freiheit";"einen Uebergang finden ? [28] Könnte mir in diesem geistigen"
"txm-AB, AB17931111";"schwer. Aber eben darin besteht ja die";"rationale Freiheit";"des Handelns, daß aller Natureinfluß aufhöre, und von allem,"
"txm-AB, AB17931111";"bis, auf der zweyten Stufe, die";"Betrachtung ihn frey";"macht. [32] Das Wohlgefallen der Betrachtung ist das erste"
"txm-AB, AB17931111";"vorher drückend und beängstigend auf den Sclaven der";"Sinnlichkeit eindrangen, weichen bey der freyen";"Kontemplation zurück, und es wird Raum zwischen dem Menschen und den"
"txm-AB, AB17931111";"etwas zu thun. [34] Was";"Wohlgefallen der freyen";"Betrachtung übt mich also, Gegenstände nicht mehr blos auf meinen physischen"
"txm-AB, AB17931111";"[35] Ich habe also bey dem";"Wohlgefallen der freyen";"Betrachtung meine Rationalität eröffnet, ohne meine Sensualität abgelegt zu haben."
"txm-AB, AB17931111";"Zustand der höchsten Abhängigkeit und der Zustand der";"höchsten Freiheit";"völlig derselben Regel. Der ganz sensuelle und der ganz rationelle Mensch"
"txm-AB, AB17931111";"des bloßen Leidens zu der unbedingten Selbstthätigkeit der";"Vernunft vorbereitet. Die Freiheit";"der Geister wird bey dem Schönen in die Sinnenwelt eingeführt, und"
"txm-AB, AB17931203";"] Es ist hier mit der innern und";"moralischen Freiheit";"ganz derselbe Fall wie mit der äußern und physischen. Frey in"
"txm-AB, AB17931203";"sagen kann, daß ein Mensch von einem";"andern Freiheit";"erhalte, obgleich die Freiheit selbst darin besteht, daß man überhoben"
"txm-AB, AB17931203";"kann, daß ein Mensch von einem andern";"Freiheit erhalte, obgleich die Freiheit";"selbst darin besteht, daß man überhoben ist, sich nach andern"
"txm-AB, AB17931203";"dabey blos dem Ausspruch seiner Vernunft, mit";"Ausschließung fremder Triebfedern, folgte. Die Freiheit";"einer äußern Handlung beruht blos auf ihrem unmittelbaren Ursprung aus dem Willen"
"txm-AB, AB17931203";"weiter ausführe. Es kann uns schwerer oder";"leichter werden, als freie";"Menschen zu handeln, je nachdem wir auf Kräfte stoßen, die"
"txm-AB, AB17931203";"Menschen zu handeln, je nachdem wir auf";"Kräfte stoßen, die unserer Freiheit";"entgegenwirken, und bezwungen werden müssen. In so fern giebt es"
"txm-AB, AB17931203";"werden müssen. In so fern giebt es";"Grade der Freiheit";". Unsere Freiheit ist größer, sichtbarer wenigstens, wenn wir sie"
"txm-AB, AB17931203";". In so fern giebt es Grade der";"Freiheit. Unsere Freiheit";"ist größer, sichtbarer wenigstens, wenn wir sie bei noch so"
"txm-AB, AB17931203";"rohen Affekt ist aber ganz und gar keine";"sittliche Handlung, und die Freiheit";", welche der Wille hier durch den Geschmack gewinnt, noch ganz"
"txm-AB, AB17931203";"Geschmack gewinnt, noch ganz und gar keine";"moralische Freiheit";". Der Geschmack befreit das Gemüth blos darum von dem Joch des"
"txm-AB, AB17931203";"indem er den ersten und offenbaren Feind der";"sittlichen Freiheit";"entwaffnet, bleibt er selbst nicht selten als der zweyte noch übrig"
"txm-AB, AB17931203";"geräth in Versuchung, sich durch Ermordung seines";"Hüters in Freiheit";"zu setzen. Anna Komnena giebt zu verstehen, daß sie nicht"
"txm-AB, AB17950120";"und edles Herz, welches von jeher aus";"eigener freyer";"Neigung für das Beßte der Menschheit thätig war, hat nunmehr auch"
"txm-AB, AB17950705";". Ich werde in einem künftigen Stücke des";"Journals mir die Freyheit";"nehmen, mein Glaubensbekenntniß über das, was dem Dichter in Rücksicht"
"txm-AB, AB17951005";", von einem mehr unterhaltenden Innhalt. Mehrere";"philosophische Ideen sind darinn in ein freyeres";"poetisches Gewand eingehüllt, und empfehlen sich vielleicht in dieser Gestalt dem"
"txm-AB, AB19931121";"Egoist unter allen Thiergattungen, und bey aller";"Anlage zur Freiheit";"der abhängigste Sinnensklave. Er sorgte blos für sich selbst und schätzte"
"txm-AB, AB19931121";"unmittelbare und materielle Empfindung, sondern auf die";"Reflexion, auf die freie";"Betrachtung. Auch das Häßliche, als schön beurtheilt, beweist schon"
"txm-AB, AB19931121";", als schön beurtheilt, beweist schon die";"Thätigkeit eines freieren";"Vermögens, ein Wohlgefallen ohne Sinneninteresse, einen anfangenden, wenn gleich"
"txm-AB, AB19931121";"über die bloße Zweckmäßigkeit hinauszugehen, um den";"erwachten Trieb nach freiem";"Vergnügen zu befriedigen. Wie sehr auch alle diese ersten Versuche,"
"txm-AB, AB19931121";"weil es Entfernungen von der Natur sind,";"Wirkungen eines freieren";"Bildungsvermögens, und daher, als die erste Anmeldung der Vernunftfreyheit,"
"txm-AB, AB19931121";"Manne gefordert, und die Schönheit ist der";"Tapferkeit Preiß. Freiheit";"äußert sich bey dem Geschäft des Instinkts, und da der Instinkt"
"txm-AB, AB19931121";", muß der rohe Egoist den Ungestüm seiner";"Affekte bezähmen, und die Freiheit";"außer sich respektieren, weil er der Freiheit gefallen will. So"
"txm-AB, AB19931121";"stehet, kann er nur ein Objekt des";"selbstsüchtigen Erhaltungstriebes, nie eines freien";"ästhetischen Urtheils seyn. Er muß also heraustreten aus dem feindseeligen kriegerischen"
"txm-AB, AB19931121";"Geist aller Gottesverehrung, ehe der Geschmack die";"Gemüther in Freiheit";"setzt. Es ist blos ihre Macht, wodurch sich Götter und"
"txm-AB, AB19931121";", auch schon in seinem physischen Sklavenstande seine";"dämonische Freiheit";"versuchen. Aber ihre wohlthätigen Wirkungen schränken sich nicht darauf ein,"
"txm-AB, AB19931121";"näher und unmittelbarer, denn selbst ins einer";"absolut freien";"Thätigkeit, im Geschäft der Erkenntniß und der Wahl, leistet sie"
"txm-AB, AB19931121";"hingegen allgemein gefallen will, den entschuldigt kein";"Stoff, er muß die Freiheit";"der Phantasie respektieren, er muß das logische Geräthe verbergen, wodurch"
"txm-AB, AB19931121";"mathematischer Steifigkeit fortschreitet, so windet sich der";"schöne Vortrag in einer freyen";"Wellenbewegung fort, ändert in jedem Punkt unmerklich seine Richtung, und"
"txm-AB, AB19931121";"und Dichter giebt uns Gelegenheit, sie mit";"scheinbarer Freiheit";"aus uns selbst zu erzeugen. [21] So wie ein"
